libcode,pubcity,pubyear,title,oclc,language
None,[Kbh.] ,1969,Robinson Crusoe,466805679,da
None,[Kbh.] ,1969,Robinson Crusoe,918595990,da
None,[Kbh.] ,1969,Robinson Crusoe,918595990,da
None,[Kbh.] ,1974,Robinson Crusoe,467142934,da
None,[Kbh.] ,1974,Robinson Crusoe,467142934,da
None,[Kbh.] ,1975,Robinson Crusoe,467130186,da
None,[Kbh.] ,1983,Robinson Crusoe : hans liv og forunderlige skæbne,60896998,da
None,[Kbh.] ,1987,Robinson Crusoe,60921002,da
None,[Kbh.] ,1995,Robinson Crusoe,60971156,da
None,[Kbh.] ,2005,Robinson Crusoe,68399446,da
None,[Kbh.] ,2007,Robinson Crusoe,475173672,en
None,[La Vergne ,2009,Robinson Crusoe : illustrated and unabridged,603891725,en
None,[La Vergne ,2009,Robinson Crusoe : illustrated and unabridged,603891725,oc
None,[Lagarrigue] ,1993,Robinson,463617964,oc
None,[Lagarrigue] ,1993,Robinson,463617964,mul
None,[Legnano ,2016,Robinson Crusoe = Robinson Crusoe,935673697,de
None,[Leipzig] ,1909,"Das Leben und die gantz ungemeine Begebenheiten des weltberühmten Engelländers Robinson Crusoe / 1, ([1909]).",312253328,de
None,[Leipzig] ,1909,"Das Leben und die gantz ungemeine Begebenheiten des Weltberühmten Engelländers, Robinson Crusoe. 1",917627873,es
None,[León] ,1999,Robinson Crusoe,51170580,en
None,[Lieu de publication inconnu] ,1937,Robinson Crusoe,493603914,pt
None,[Lisboa] ,1997,Robinson Crusoé,44637885,en
None,[London ,183-,"The life and most surprising adventures of Robinson Crusoe, of York, mariner, who lived eight and twenty years on an uninhabited island",234361876,en
None,[London ,195-,Robinson Crusoe,316324191,en
None,[London?] ,1790,"The exploits of Robinson Crusoe, mariner, of York. Exhibiting a concise and clear narrative of his living twenty-eight years in an uninhabited island on the coast of America: the loss of his ship in a hurricane, by which his companions were drowned, and he alone preserved, being thrown on shore on a part of the wreck: and his miraculous preservation at last by means of pirates.",15864719,en
None,[London?] ,1933,Robinson Crusoe,646185522,en
None,[London?] ,1943,Robinson Crusoe pictures.,225342772,en
None,[London?] ,1943,Robinson Crusoe pictures.,225342772,en
None,[London] ,1719,"The life and strange adventures of Robinson Crusoe of York, mariner : who lived eight and twenty years alone in an uninhated [sic] island on the coast of America, near the mouth of the great River Oroonoque : having been cast on shore by shipwreck, wherein all the men perished but himself : with an account how he was at last strangely delivered by pyrates",53348530,en
None,[London] ,1719,"The life and strange adventures of Robinson Crusoe of York, mariner: who lived eight and twety[sic] years alone in an uninhated[sic] island on the coast of America, near the mouth of the great river Oroonoque; having been cast on shore by shipwreck, wherein all the men perished but himself. With an account how he was at last strangely delivered by pyrates.",58961887,en
None,[London] ,1740,"The life of Robinson Crusoe, of York, mariner.",1027493165,en
None,[London] ,1768,"The wonderful life and surprising adventures of that renowned hero Robinson Crusoe : who lived twenty eight years on an uninhabited island, which he afterwards colonised.",191217131,en
None,[London] ,1812,"The life and adventures of Robinson Crusoe : including an account of his shipwreck, and residence for twenty-nine years on an unknown island, the remarkable history of his deliverance ; and the extraordinary circumstances which afterwards befel him in various parts of the world.",1040506759,en
None,[London] ,1820,"The life and surprizing adventures of Robinson Crusoe, of York, mariner who lived eight-and-twenty years, all alone, on an uninhabited island, near the mouth of a great river Oroonoque. With an account of his travels round three parts of the globe.",952418293,en
None,[London] ,1825,"[The life and surprising adventures of Robinson Crusoe, of York, mariner] ...",54156267,en
None,[London] ,1873,Robinson Crusoe.,496990637,en
None,[London] ,1885,[Childhood's favourite tales,63084991,en
None,[London] ,1890,[The Life and surprising adventures of] Robinson Crusoe,254654779,en
None,[London] ,1890,[The Life and surprising adventures of] Robinson Crusoe,254654779,en
None,[London] ,1895,"Mr. Charles Wilmot's 12th grand pantomime at this theatre, Rollicking Robinson Crusoe : or, Harlequin Good Man Friday, who kept the house tidy, and Pretty Polly of Wapping Old Stairs",55169852,en
None,[London] ,1895,"Mr. Charles Wilmot's 12th grand pantomime at this theatre, Rollicking Robinson Crusoe : or, Harlequin Good Man Friday, who kept the house tidy, and Pretty Polly of Wapping Old Stairs",55169852,en
None,[London] ,1895,"Mr. Charles Wilmot's 12th grand pantomime at this theatre, Rollicking Robinson Crusoe : or, Harlequin Good Man Friday, who kept the house tidy, and Pretty Polly of Wapping Old Stairs",55169852,en
None,[London] ,1905,--The works of Daniel Defoe--.,38897298,en
None,[London] ,1947,Robinson Crusoe. Retold from the book by Daniel Defoe. Illustrated by Heade.,800592853,sw
None,[London] ,1950,Robinson Crusoe,639300541,sw
None,[London] ,1962,Robinson Kruso na kisiwa chake,643460721,en
None,[London] ,1962,Robinson Kruso na kisiwa chake,643460721,en
None,[London] ,1976,Robinson Crusoe,251825513,en
None,[London] ,2012,Daniel Defoe's Robinson Crusoe.,863625817,en
None,[London] ,"12, ",obinson Crusoe.,34264174,en
None,[London] ,182-,Robinson Crusoe.,80525726,en
None,[London] ,184-,The Adventures of Robinson Crusoe.,264982040,en
None,[London] ,185-,Robinson Crusoe,425694110,en
None,[London] ,187-,Robinson Crusoe. [And other stories].,15724881,en
None,[London] ,192-,Robinson Crusoe.,1008132454,en
None,[London] Helbling Languages ,2016,Robinson Crusoe,1025334931,fr
None,[London] Printed for the Booksellers ,1800,"The exploits of Robinson Crusoe, mariner, of York. Exhibiting a concise and clear narrative of his living twenty-ight [sic] years in an uninhabited island on the coast of America ...",11502629,es
None,[Longueuil ,2007,Robinson Crusoé,126073840,es
None,[Madrid] ,1927,Robinson Crusoe,927742642,es
None,[Madrid] ,1957,Robinson Crusoe,433850808,es
None,[Madrid] ,1962,Robinson Crusoe,433850891,es
None,[Madrid] ,1963,Robinson Crusoe,433850911,es
None,[Madrid] ,1971,Robinson Crusoe,433851068,es
None,[Madrid] ,1974,Robinson Crusoe,433851190,es
None,[Madrid] ,1982,Robinson Crusoe,246340365,es
None,[Madrid] ,1984,Robinson Crusoe,1028322234,es
None,[Madrid] ,1994,Robinson Crusoe,433541710,es
None,[Madrid] ,2000,Robinson Crusoe,45136179,es
None,[Madrid] ,2000,Robinson Crusoe,45292442,es
None,[Madrid] ,2001,Robinson Crusoe,804848027,en
None,[Madrid] ,2001,Robinson Crusoe,804848027,en
None,[Madrid] ,2003,Robinson Crusoe,433395505,en
None,[Madrid] ,2004,Robinson Crusoe,433426206,en
None,[Madrid] ,2004,Robinson Crusoe,606471685,en
None,[Missoula ,2009,The amazing adventures of Robinson Crusoe.,768815525,de
None,[Montpelier ,1807,The Life and wonderful adventures of Robinson Crusoe,925491216,de
None,[München] ,1983,Robinson Crusoe : Roman.,643782608,de
None,[München] ,2009,Robinson Crusoe : ein Hörspiel nach dem bekannten Jugendbuch,436301572,de
None,[München] ,2009,Robinson Crusoe : ein Hörspiel nach dem bekannten Jugendbuch,436301572,de
None,[München] ,2009,Robinson Crusoe : ein Hörspiel nach dem bekannten Jugendbuch,643180568,nl
None,[München] [Polyband] ,1978,1978 Robinson Crusoe Folge 1,724946081,nl
None,[München] [Polyband] ,1978,1978 Robinson Crusoe Folge 2,724946125,nl
None,[Nazareth] ,2003,Robinson Crusoe,896872236,en
None,[Nazareth] ,2003,Robinson Crusoe,896872236,en
None,[Nederland] ,1970,Robinson Crusoe,946174874,en
None,[New ,1916,The story of Robinson Crusoe Jr. [a musical extravaganza,67409803,en
None,[New ,1916,The story of Robinson Crusoe Jr. [a musical extravaganza,67409803,en
None,[New Haven] ,1803,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,1039367301,en
None,[New Haven] ,1805,The Wonderful life and adventnres [sic] of Robinson Crusoe : Adorned with twenty cuts.,926435096,en
None,[New Haven] ,1805,The Wonderful life and adventnres [sic] of Robinson Crusoe : Adorned with twenty cuts.,926435096,en
None,[New Haven] ,1805,The Wonderful life and adventnres [sic] of Robinson Crusoe. : Adorned with twenty cuts.,1039420449,en
None,[New Haven] ,1806,The Wonderful life and adventurs [sic] of Robinson Crusoe : Adorned with cuts.,926627480,en
None,[New Haven] ,1806,The Wonderful life and adventurs [sic] of Robinson Crusoe. : Adorned with cuts.,1039448830,en
None,[New Haven] ,1807,"The wonderful life and surprising adventures of that renowned hero, Robinson Crusoe : who lived twenty-eight years on an uninhabited island, which he aftwards colonised.",925486147,en
None,[New Haven] ,1807,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,949877750,en
None,[New Haven] ,1807,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,949877750,en
None,[New Haven] ,1807,"The wonderful life and surprising adventures of that renowned hero, Robinson Crusoe, : who lived twenty-eight years on an uninhabited island, which he aftwards colonised.",1039106365,en
None,[New Haven] ,1807,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,1039189180,en
None,[New Haven] ,1808,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,949877769,en
None,[New Haven] ,1808,The Wonderful life and adventures of Robinson Crusoe. : Adorned with cuts.,1039187907,en
