"id","title","year","language","authors"
"mdp.39015078560698","Robinson Crusoe. Af Daniel Defoe. Ofvers?ttning af O.V. A?lund.","1883","swe","Defoe, Daniel 1661?-1731; A?lund, O.V. tr"
"mdp.39015078559468","La vie et les aventures de Robinson Cruso?, par Daniel De Fo?; traduites de l'anglais. ?d. abr?g?e ? l'usage des enfants. Avec 40 gravures.","1863","fre","Defoe, Daniel 1661?-1731"
"hvd.hn33pt","The life and adventures of Robinson Crusoe.","1871","eng","Defoe, Daniel 1661?-1731"
"uc1.b4096726","Manual of practical anatomy, by the late D. J. Cunningham. Edited by Arthur Robinson","1912","eng","Cunningham, Daniel John; Robinson, Arthur"
"uc1.b4096727","Manual of practical anatomy, by the late D. J. Cunningham. Edited by Arthur Robinson","1912","eng","Cunningham, Daniel John; Robinson, Arthur"
"hvd.hn3h7g","Life and adventures of Robinson Crusoe. Including a memoir of the author and an essay on his writings.","1887","eng","Defoe, Daniel 1661?-1731"
"uiug.30112046157142","The life and surprising adventures of Robinson Crusoe / by Daniel Defoe.","1869","eng","Defoe, Daniel 1661?-1731; Defoe, Daniel 1661?-1731; S. D. Ewins &amp; Co pbl; William Nicholson and Sons pbl prt"
"mdp.39015078550897","The life and adventures of Robinson Crusoe: by Daniel De Foe, with a memoir of the author. Embellished by three hundred engravings, after designs by J.J. Grandville.","1859","eng","Defoe, Daniel 1661?-1731; Grandville, J. J. 1803-1847 illus"
"nnc1.0114637545","Vie et aventures de Robinson Crusoe?.","1821","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078549667","The life and adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years all alone in an uninhabited island, on the coast of America, near the mouth of the great river Oroonoque. With an account of his travels round three parts of the globe. Written by himself ...","1790","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078553909","Het leven en de wonderbaare gevallen van Robinson Crusoe, behelzende onder andere ongehoorde uitkomsten een verhaal van zyn agt en twintig jaarig verblyf op een onbewoond eiland, gelegen op de kust van America by de mond van de rivier Oronooque. Alles door liem zelfs beschreven, nu uit het engels vertaald, en met figuren benevens een nette kaart zyner zwerving verrykt ...","1722","dut","Defoe, Daniel 1661?-1731"
"mdp.39015078559690","Aventures de Robinson Cruso?, traduites de Daniel De Foe.","1860","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078559450","Aventures de Robinson Cruso?, par Daniel De Fo?; traduction nouvelle, illustr?e de 20 gravures.","1869","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078556183","Robinson Crusoe; or, The bold buccaniers. A drama, in two acts: adapted to Hodgson's theatrical characters and scenes in the same.","1822","eng","Pocock, I. (Isaac) 1782-1835; Pix?r?court, R.-C. Guilbert de (Ren?-Charles Guilbert) 1773-1844; Defoe, Daniel 1661?-1731"
"mdp.39015078555094","The adventures of Robinson Crusoe.","1818","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078548339","Serious reflections during the life and surprising adventures of Robinson Crusoe: with his Vision of the angelick world. Written by himself.","1720","eng","Defoe, Daniel 1661?-1731"
"njp.32101073511824","Robinson Crusoe ... bearb. von P. Prickartz ...","1910","ger","Defoe, Daniel 1661?-1731; Prickartz, Peter ed"
"mdp.39015078558122","Aventures de Robinson Cruso?, avec 20. grav. et notes ...","1811","fre","Defoe, Daniel 1661?-1731; Saint-Hyacinthe, Th?miseul de 1684-1746 joint tr; Effen, Justus van 1684-1735 tr"
"mdp.39015078560441","Vita e avventure di Robinson Cruso?, per De Fo? ...","1893","ita","Defoe, Daniel 1661?-1731"
"mdp.39015078550640","The life and adventures of Robinson Crusoe. Embellished with engravings from designs by Thomas Stothard ...","1820","eng","Defoe, Daniel 1661?-1731; Heath, Charles 1785-1848 engr; Stothard, Thomas 1755-1834 illus"
"nnc1.0114637553","Vie et aventures de Robinson Crusoe?.","1821","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078551713","The life and adventures of Robinson Crusoe, of York, mariner. By Daniel Defoe. Complete edition, containing the first and second parts, carefully compared with the original edition of 1719. Illustrated in oil-colours by Kroheim.","1864","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078552802","The adventures of Robinson Crusoe, by Daniel Defoe, newly edited after the original editions, with illustrations by Kauffmann.","1889","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078548305","The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years all alone in an un-inhabited island on the coast of AMerica, near the mouth of the great river Oroonoque; having been cast on shore by shipwreck, wherein all the men perished but himself. With an account how he was at last as strangely [!] deliver'd by pyrates. Written by himself.","1722","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078549634","The life and strange surprising adventures of Robinson Crusoe; of York, mariner: who lived eight-and-twenty years all alone in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque; having been cast on shore by shipwreck, wherein all the men perished but himself. With an account how he was at last as strangely delivered by pirates. Written by himself.","1766","eng","Defoe, Daniel 1661?-1731; Austen, Mary former owner"
"mdp.39015078549873","The life and most surprising adventures of Robinson Crusoe, of York, mariner, who lived eight and twenty years in an uninhabited island on the coast of America near the mouth of the great river Oroonoque. With an account of his deliverance thence, and his after suprising adventures.","1811","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078573741","Robinson Crusoe. En skeppsbrutens underbara ?fventyr. Bearbetning f?r ungdom efter Defoes f?rsta och ?kta upplaga.","1889","swe","Campe, Joachim Heinrich 1746-1818; Mensch, G; Defoe, Daniel 1661?-1731"
"mdp.39015078559682","Aventures de Robinson Cruso? traduit de l'anglais de Daniel De Fo?","1876","fre","Defoe, Daniel 1661?-1731; Albit?s, Achille C"
"mdp.39015078559203","Robinson Crusoe. Pictures by A.E. Kennedy.","1911","eng","Defoe, Daniel 1661?-1731; Kennedy, A. E. ill"
"mdp.39015078555086","The adventures of Robinson Crusoe.","1831","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078556175","Robinson Crusoe for young folks / Daniel Defoe's story retold by Stella and William Nida ; pictures by Jean and Hal Arbo.","1947","eng","Defoe, Daniel 1661?-1731; Arbo, Jean ill; Arbo, Hal ill; Nida, William L. 1874-1936; Nida, Stella Humphrey"
"mdp.39015078557025","La vie et les aventures surprenantes de Robinson Cruso?, contenant son retour dans son isle, ses autres nouveaux voyages, & ses r?flexions; traduit de l'anglois.","1772","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078558114","Aventures de Robinson Cruso?, avec 20. grav. et notes ...","1811","fre","Defoe, Daniel 1661?-1731; Saint-Hyacinthe, Th?miseul de 1684-1746 joint tr; Effen, Justus van 1684-1735 tr"
"mdp.39015074252183","The life and surprising adventures of Robinson Crusoe, of York, mariner : with a biographical account of Defoe / [Daniel Defoe] ; illustrated with seventy characteristic wood engravings, finely executed by Harvey and Whimper.","1846","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078550871","The life and adventures of Robinson Crusoe.","1859","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078551960","The life and strange surprising adventures of Robinson Crusoe of York, mariner. By Daniel Defoe, with illustrations by J. Ayton Symington.","1905","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078552810","The life and adventures of Robinson Crusoe, by Daniel De Foe, with fifty-two illustrations by J.D. Watson, and six coloured paltes.","1879","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078551721","The life and adventures of Robinson Crusoe. / By Daniel De Foe. With a portrait; and one hundred illustrations by J.D. Watson, engraved by the brothers Dalziel.","1864","eng","Defoe, Daniel 1661?-1731; Dalziel, George 1815-1902 engr; Dalziel, Edward 1817-1905 engr"
"mdp.39015078550632","The life and adventures of Robinson Crusoe; written by himself.","1824","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078550855","The life and adventures of Robinson Crusoe. By Daniel De Foe ...","1851","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078548313","The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years all alone in an un-inhabited island on the coast of AMerica, near the mouth of the great river Oroonoque; having been cast on shore by shipwreck, wherein all the men perished but himself. With an account how he was at last as strangely [!] deliver'd by pyrates. Written by himself.","1722","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078549402","The life and strange surprising adventures of Robinson Crusoe; of York, mariner: who lived eight-and-twenty years all alone in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque: having been cast on shore by shipwreck, wherein all the men perished but himself. With an account how he was at last as strangely delivered by pirates. Written by himself.","1755","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078550616","The life and strange surprising adventures of Robinson Crusoe, of York, mariner; who lived eight and twenty years alone in an uninhabited island on the coast of America, near the mouth of the great river Oronoko; having been cast on shore by shipwreck, wherein all the men perished but himself, with an account how he was at last strangely delivered by pirates. Written by himself.","1828","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078549642","The life and strange surprising adventures of Robinson Crusoe; of York, mariner: who lived eight-and-twenty years all alone in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque; having been cast on shore by shipwreck, wherein all the men perished but himself. With an account how he was at last as strangely delivered by pirates. Written by himself.","1766","eng","Defoe, Daniel 1661?-1731; Austen, Mary former owner"
"umn.31951000781846r","The teacher's Robinson Crusoe; a manual for primary teachers.  The story rewritten, modernized and adapted, with additional incidents for use in the later primary grades as a center and material for oral and written language, nature study, social and industrial history, ethics, drawing and the manual arts. The adaptation, with additional incidents, introduction and suggestive treatments of the text, by Samuel B. Allison.","1910","eng","Allison, Samuel Buell b. 1861; Defoe, Daniel 1661?-1731"
"hvd.hn33q6","Aventures surprenantes de Robinson Crusoe. Traduites de l'anglais.","1829","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078559435","Aventures de Robinson Cruso?, par Daniel De Fo?. Nouvelle traduction","1869","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078557496","Het leven en de lotgevallen van Robinson Crusoe. Naar de oorspronkelijke uitgave bewerkt door G. Velderman ... Ge?llustreerd met 12 platen van Josef Scheidel Jr.","1889","dut","Defoe, Daniel 1661?-1731; Velderman, G. ed"
"hvd.hn33q5","Aventures surprenantes de Robinson Crusoe. Traduites de l'anglais.","1829","fre","Defoe, Daniel 1661?-1731"
"hvd.hn33q4","Aventures surprenantes de Robinson Crusoe. Traduites de l'anglais.","1829","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078560664","Robinson Crusoe, av Daniel Defoe, ?vers?ttning av Lennart Ribbing, med 20 illustrationer ...","1913","und","Defoe, Daniel 1661?-1731; Ribbing, Lennart 1847- tr"
"mdp.39015078558106","Aventures de Robinson Cruso?, avec 20. grav. et notes ...","1811","fre","Defoe, Daniel 1661?-1731; Saint-Hyacinthe, Th?miseul de 1684-1746 joint tr; Effen, Justus van 1684-1735 tr"
"mdp.39015078558346","Les aventures de Robinson Cruso?, traduites de l'anglais de Daniel De Foe. Orn?es de huit vignettes grav?es d'apr?s les dessins de m. de Sainson ...","1839","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078559674","Aventures de Robinson Cruso? ... / [Daniel] De Fo? ; avec de nombreuses gravures par ?mile Mas.","1905","fre","Defoe, Daniel 1661?-1731; Dumoulin, Jean chanoine printer; Delarue, H. publisher; Mas, Emile engraver"
"hvd.hn33q7","Aventures surprenantes de Robinson Crusoe. Traduites de l'anglais.","1829","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078557256","La vie et les aventures surprenantes de Robinson Cruso?, contenant son retour dans son isle, ses autres nouveaux voyages, & ses r?flexions; traduit de l'anglois.","1764","fre","Defoe, Daniel 1661?-1731; Saint-Hyacinthe, Th?miseul de 1684-1746 jt. tr; Effen, Justus van 1684-1735 tr"
"mdp.39015078551952","Robinson Crusoe, by Daniel Defoe.","1905","und","Defoe, Daniel 1661?-1731"
"mdp.39015074252175","The life and surprising adventures of Robinson Crusoe / by Daniel Defoe ; with eight illustrations in color by John Williamson.","1910","eng","Defoe, Daniel 1661?-1731; Williamson, John"
"mdp.39015078550863","The life and adventures of Robinson Crusoe.","1850","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078552869","The life and strange surprizing adventures of Robinson Crusoe, of York, mariner. Written by himself. With an introductory memoir of Daniel De Foe, a memoir of Alexander Selkirk, an account of Peter Serrano, and other interesting additions. Illustrated with upwards of seventy engravings by Keeley Halswelle, a portrait of De Foe, a map of Robinson Crusoe's island, De Foe's tomb, facsimiles of original title-pages, etc., etc.","1876","eng","Defoe, Daniel 1661?-1731; Adams, W. H. Davenport (William Henry Davenport) 1828-1891 ed"
"mdp.39015078553958","Robinson Crusoe, oversat efter den nyeste engelske pragtudgave. Med omtrent 100 illustrationer efter den ber?mte engelske tegner Walter Paget.","1894","dan","Defoe, Daniel 1661?-1731"
"mdp.39015078553719","The life and surprising adventures of Robinson Crusoe, by Daniel Defoe; with eight illustrations in colour by John Williamson.","1916","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078549212","The life and adventures of Robinson Crusoe. By Daniel De Foe.","1799","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078558171","La vie et les aventures surprenantes de Robinson Cruso?, : contenant son retour dans son ile, ses autres nouveaux voyages, et ses r?flexions.","1821","fre","Defoe, Daniel 1661?-1731; Bonnet, Jules 1795-1875 printer"
"mdp.39015078557082","La vie et les aventures surprenantes de Robinson Cruso?; contenant son retour dans son isle, ses autres nouveaux voyages & ses r?flexions. Traduit de l'anglois ...","1768","fre","Defoe, Daniel 1661?-1731; Saint-Hyacinthe, Th?miseul de 1684-1746 joint tr; Effen, Justus van 1684-1735 tr"
"mdp.39015078559021","Der vollst?ndige Robinson Crusoe. Neu nach dem englischen bearbeitet. Mit vier kupfern und zwai vignetten nebst einem k?rtchen von Robinsons insel ... Nebst biographischen nachrichten von Alexander Selkirk und Daniel Defoe.","1833","ger","Defoe, Daniel 1661?-1731"
"mdp.39015078559260","Les aventures de Robinson Cruso?; nombreuses illustrations par K. Halswelle et V.-A. Poirson.","1890","fre","Defoe, Daniel 1661?-1731"
"mdp.39015078560011","Robinson Cruso? : m?lodrame en trois actes : ? grand spectacle / par R.C. Guilbert-Pix?r?court ; repr?sent? pour la premi?re fois ? Paris ... le 10 vendemiaire an XIV, (2 octobre 1805) ; musique de mm. A. Piccini et Cerardin Lacour ; ballets de m. Aumer ; d?corations de m. Matis.","1805","fre","Pix?r?court, R.-C. Guilbert de (Ren?-Charles Guilbert) 1773-1844; Defoe, Daniel 1661?-1731"
"mdp.39015078549691","The wonderful life, and surprising adventures, of that renowned hero, Robinson Crusoe; who lived twenty-eight years on an uninhabited island, which he afterwards colonised.","1789","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078548362","The farther adventures of Robinson Crusoe; being the second and last part of his life, and of the strange surprizing account of his travels round three parts of the globe. Written by himself.","1722","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078550699","The life and surprising adventures of Robinson Crusoe of York, mariner; who lived eight-and-twenty years, all alone, on an uninhabited island, near the mouth of the great river Oroonoque. With an account of his travels round three parts of the globe. Written by himself.","1820","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078551788","The life and surprising adventures of Robinson Crusoe, by Daniel Defoe. With eight illustrations in colour by John Williamson.","1903","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078552877","Life and adventures of Robinson Crusoe, with a biographical account of Defoe. Illustrated by Thwaites and others.","1875","eng","Defoe, Daniel 1661?-1731"
"hvd.hwjv3h","Les aventures de Robinson Cruso? traduites de l'anglais de Daniel De Foe. Orn?es de huit vignettes grav?es d'apr?s les dessins de m.de Sainson ...","1837","fre","Defoe, Daniel 1661?-1731"
"hvd.hn6nag","The life and adventures of Robinson Crusoe, by Daniel Defoe; ed. with notes and an introduction by Clifton Johnson.","1917","eng","Defoe, Daniel 1661?-1731; Johnson, Clifton 1865-1940 ed"
"ucm.5321278615","Aventuras de Robins?n Crusoe / [Daniel Defoe] ; seguidas de una desertaci?n religiosa por el Abate Labouderie ; traducidas de la ?ltima edici?n francesa ? ilustradas con notas por Jos? Alegret de Mesa.","1863","spa","Defoe, Daniel 1660-1731; Alegret de Mesa, Jos? trad; Labouderie, Jean 1776-1849"
"mdp.39015078559252","Aventures de Robinson Cruso?, par Daniel De Fo?; traduction nouvelle, illustrations de Grandville.","1881","fre","Defoe, Daniel 1661?-1731; Grandville, J. J. 1803-1847 illus"
"mdp.39015078558163","La vie et les aventures surprenantes de Robinson Cruso?, : contenant son retour dans son ile, ses autres nouveaux voyages, et ses r?flexions.","1821","fre","Defoe, Daniel 1661?-1731; Bonnet, Jules 1795-1875 printer"
"mdp.39015078557074","Les avantures, ou, La vie et les voyages de Robinson Cruso?, traduction libre de cet ouvrage anglois attribu? au c?l?bre Richard Steele ...","1769","fre","Defoe, Daniel 1661?-1731; Feutry, Aime Ambroise Joseph 1720-1789"
"mdp.39015078560003","Der ?chte englische Robinson Crusoe, seine ersten seefahrten, sein schiffbruch und achtundzwanzigj?hriger aufenthalt auf einer unbewohnten insel, so wie seine sp?tern merkw?rdigen reisen und abenteuer bis zum ende seines lebens. Nach der urspr?nglichen erz?hlung Daniel Foe's vollst?ndig ?bertragen. Mit nachrichten ?ber des verfassers leben und f?nfzig kupfern.","1837","ger","Defoe, Daniel 1661?-1731"
"mdp.39015078559013","Der vollst?ndige Robinson Crusoe. Neu nach dem englischen bearbeitet. Mit einem k?rtchen von Robinsons insel ... Nebst biographischen nachrichten von Alexander Selkirk und Daniel Defoe.","1829","ger","Defoe, Daniel 1661?-1731; Selkirk, Alexander 1676-1721"
"mdp.39015078550681","The life and surprising adventures of Robinson Crusoe of York, mariner; who lived eight-and-twenty years, all alone, on an uninhabited island, near the mouth of the great river Oroonoque. With an account of his travels round three parts of the globe. Written by himself.","1820","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078551770","The life and strange surprising adventures of Robinson Crusoe of York, mariner, as related by himself, by Daniel Defoe. With one hundred and twenty original illustrations by Walter Paget.","1903","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078550442","The life and most surprising adventures of Robinson Crusoe, of York, mariner.","1826","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078552620","The life and adventures of Robinson Crusoe, by Daniel De Foe, with a memoir of the author and twelve illustrations in permanent photography by T. Stothard, R.A.","1881","eng","Defoe, Daniel 1661?-1731; Stothard, Thomas 1755-1834 illus"
"uc1.b3293466","Das Leben und die gantz ungemeine Begebenheiten des Weltberu?hmten Engella?nders Robinson Crusoe ... Von ihm selbst beschrieben, und, nach der dritten engella?ndischen Edition, auf Vornehmes begehren, ins Teutsche u?bersetzt.","1909","ger","Defoe, Daniel 1661?-1731; Ullrich, Hermann 1854-1932 ed. and tr"
"uc1.b3293467","Das Leben und die gantz ungemeine Begebenheiten des Weltberu?hmten Engella?nders Robinson Crusoe ... Von ihm selbst beschrieben, und, nach der dritten engella?ndischen Edition, auf Vornehmes begehren, ins Teutsche u?bersetzt.","1909","ger","Defoe, Daniel 1661?-1731; Ullrich, Hermann 1854-1932 ed. and tr"
"mdp.39015078551515","The life and surprising adventures of Robinson Crusoe, of York, mariner, with a biographical account of Defoe, illustrated with seventy characteristic wood engravings, chiefly after designs by Harvey, and twelve engravings on steel, after Stothard.","1855","eng","Defoe, Daniel 1661?-1731; Stothard, Thomas 1755-1834 illus; Harvey, William 1796-1866 illus"
"mdp.39015078550426","The life and adventures of Robinson Crusoe / [Daniel Defoe] ; with a biographical sketch of De Foe, written expressly for this edition and illustrations from original designs.","1831","eng","Defoe, Daniel 1661?-1731; Valpy, Abraham John 1787-1854 printer; Andrews, J. publisher; Roscoe, Thomas 1791-1871; Gould, Peter K. former owner; Cochrane and Pickersgill publisher"
"mdp.39015078548347","The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years all alone in an un-inhabited island on the coast of America, near the mouth of the great river Oroonoque; having been cast on shore by shipwreck, wherein all the men perished but himself. With an account how he was at last as strangely deliver'd by pyrates. Written by himself.","1720","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078552604","The life and adventures of Robinson Crusoe : mariner, of Hull / by Daniel Defoe ; with biographical memoir and illustrative notes ; in two volumes, with eight etchings by M. <sic> Mouilleron and portrait by L. Flameng.","1882","eng","Defoe, Daniel 1661?-1731; Ballantyne, John Alexander d. 1863 egr; Flameng, Le?opold 1831-1911 egr; Mouilleron, Adolphe 1820-1881 ill; Ballantyne Press prt; Ballantyne, Hanson &amp; Co prt; Scribner &amp; Welford pbl; J.C. Nimmo and Bain pbl"
"hvd.32044096998489","Robinson's Progressive practical arithmetic : containing the theory of numbers in connection with concise analytic and synthetic methods of solution, and designed as a complete text-book on this science for common schools and academies / by Daniel W. Fish.","1871","eng","Robinson, Horatio N. (Horatio Nelson) 1806-1867; Fish, Daniel W. 1820-1899"
"mdp.39015078559484","Aventures de Robinson Crusoe, traduit de l'anglais de Daniel De Fo?.","1879","eng","Defoe, Daniel 1661?-1731; Albit?s, Achille C"
"mdp.39015078558395","Robinson Crusoe. / Von Daniel de Foe. ; Nach Carl B?ttger's deutscher bearbeitung neu erz?hlt von O.L. Heubner.","1889","ger","Defoe, Daniel 1661?-1731; Brumder, George 1839-1910 bookseller; Heubner, O. L; B?ttger, Carl; Wigand, Georg publisher; Breitkopf &amp; H?rtel printer"
"mdp.39015078559005","Der vollst?ndige Robinson Crusoe. Neu nach dem englischen bearbeitet. Mit einem k?rtchen von Robinsons insel ... Nebst biographischen nachrichten von Alexander Selkirk und Daniel Defoe.","1829","ger","Defoe, Daniel 1661?-1731; Selkirk, Alexander 1676-1721"
"mdp.39015078558155","La vie et les aventures surprenantes de Robinson Cruso?.","1809","fre","Defoe, Daniel 1661?-1731; Saint-Hyacinthe, Th?miseul de 1684-1746 joint tr; Effen, Justus van 1684-1735 tr"
"mdp.39015078557066","La vie et les avantures surprenantes de Robinson Crusoe, contenant, entre autres ?v?nemens, le s?jour qu'il a fait pendant vingt-huit ans dans une ile d?serte situ?e sur la c?te de l'Am?rique, pr?s l'embouchure de la grande rivi?re Oroonoque. Le tout ?crit par lui-m?me. Traduit de l'anglois ...","1770","fre","Defoe, Daniel 1661?-1731; Picart, Bernard 1673-1733 engr; Saint-Hyacinthe, Th?miseul de 1684-1746 joint tr; Effen, Justus van 1684-1735 tr"
"mdp.39015078560474","Robinson Cruses resor och ?fwentyr, samt hans wistande i 28 ?r p? en obebodd ?.","1860","swe","Defoe, Daniel 1661?-1731"
"hvd.hwjv2z","The life and adventures of Robinson Crusoe : with a life of the author.","1845","eng","Defoe, Daniel 1661?-1731; Colesworthy, Samuel H. pbl"
"hvd.32044097038137","The life and strange surprising adventures of Robinson Crusoe / by Daniel Defoe; ed. for school use, by William T. Hastings.","1913","eng","Defoe, Daniel 1661?-1731; Hastings, William T. (William Thomson) 1881-1969 editor; Hastings, William T. (William Thomson) 1881-1969 ed"
"mdp.39015078550673","The life and most surprising adventures of Robinson Crusoe, of York, mariner, who lived eight and twenty years in an uninhabited island, on the coast of America, near the mouth of the great river Oroonoko. With an account of his deliverance; and his after surprising adventures.","1824","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078553941","Robinson Crusoe, en s?mands liv og vidunderlige eventyr.","1913","dan","Defoe, Daniel 1661?-1731"
"mdp.39015078551762","The adventures of Robinson Crusoe, by Daniel Defoe.","1904","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078553701","The life and adventures of Robinson Crusoe, by Daniel Defoe; illustrated by Gordon Robinson.","1916","eng","Defoe, Daniel 1661?-1731"
"nyp.33433069101313","Robinson's Progressive practical arithmetic : containing the theory of numbers in connection with concise analytic and synthetic methods of solution and designed as a complete text-book on this science for common schools and academies / by Daniel W. Fish.","1888","eng","Robinson, Horatio N. (Horatio Nelson) 1806-1867; Fish, Daniel W. 1820-1899"
"mdp.39015078552612","The life and adventures of Robinson Crusoe : mariner, of Hull / by Daniel Defoe ; with biographical memoir and illustrative notes ; in two volumes, with eight etchings by M. <sic> Mouilleron and portrait by L. Flameng.","1882","eng","Defoe, Daniel 1661?-1731; Ballantyne, John Alexander d. 1863 egr; Flameng, Le?opold 1831-1911 egr; Mouilleron, Adolphe 1820-1881 ill; Ballantyne Press prt; Ballantyne, Hanson &amp; Co prt; Scribner &amp; Welford pbl; J.C. Nimmo and Bain pbl"
"mdp.39015078550434","The life and adventures of Robinson Crusoe; written by himself ...","1831","eng","Defoe, Daniel 1661?-1731"
"mdp.39015078551523","The life and adventures of Robinson Crusoe. By Daniel De Foe. Including a memoir of the author, and an essay on his writings. Illustrated by Phiz [pseud.]","1855","eng","Defoe, Daniel 1661?-1731; Browne, Hablot Knight 1815-1882 illus"
"hvd.hwjv2p","Robinson Cruso? / Pr?c?d? d'une notice sur sa vie et ses ouvrages.","1854","fre","Defoe, Daniel 1661?-1731"
