htrc-id,pubcity,pubyear,title,oclc,language,hasText,latitude,longitude
UF00073591,London++New York,1879,TheLife and adventures of Robinson Crusoe,25143812,English,y,None,None
UF00074451,New York,1905,The life and adventures of Robinson Crusoe,30345701,English,y,40.7306458,-73.9866136
UF00073636,New York (9 Lafayette Place)++London++Glasgow,1895,The life and adventures of Robinson Crusoe,26897888,English,y,None,None
UF00073606,London (Paternoster Row),1883,The life and adventures of Robinson Crusoe,7286083,English,y,51.5145389,-0.0972019
UF00073610,New York,1887,The Life and adventures of Robinson Crusoe,28229589,English,y,40.7306458,-73.9866136
UF00073615,New York ( 9 Lafayette Place)++London++Manchester,1895,The Life and adventures of Robinson Crusoe,28229592,English,y,None,None
UF00073618,London (Broadway House Ludgate Hill),1895,The life and adventures of Robinson Crusoe,5181815,English,y,None,None
UF00073616,New York,1895,Life and adventures of Robinson Crusoe ,1276545,English,y,40.7306458,-73.9866136
UF00073612,Chicago,1888,Life and adventures of Robinson Crusoe ,22223164,English,y,41.8755546,-87.6244212
UF00028231,London ( Paternoster Row)++Edinburgh++New York,1874,Life and adventures of Robinson Crusoe,26812742,English,y,None,None
UF00073587,New York ( 779 Broadway ),1879,The Life and adventures of Robinson Crusoe,27966249,English,y,40.7314762,-73.9918766
UF00073588,New York ( No. 139 Eight Street ),1875,Life and adventures of Robinson Crusoe,21897658,English,y,None,None
UF00074450,London (5 Henrietta Street Covent Garden),1899,The life and adventures of Robinson Crusoe,30836221,English,y,None,None
UF00073575,New York (122 Nassau Street),1875,Life and adventures of Robinson Crusoe,20323804,English,y,40.7108387,-74.0067746389005
UF00073563,"Boston++Concord, N. H.",1867,The Life and adventures of Robinson Crusoe,28252002,English,y,None,None
UF00073574,London ( Bedford Street Strand ),1869,The Life and adventures of Robinson Crusoe,5588545,English,y,51.5083023,-0.109819630580058
UF00073578,New York,1870,The Life and adventures of Robinson Crusoe,22257483,English,y,40.7306458,-73.9866136
UF00073602,New York (No. 24 Bond Street),1880,Life and adventures of Robinson Crusoe,24946387,English,y,40.7265892,-73.9937322
UF00074471,Chicago++New York,1932,Life and adventures of Robinson Crusoe,30762780,English,y,None,None
UF00074472,Chicago++Akron Ohio++New York,1935,The life and adventures of Robinson Crusoe,30769380,English,y,None,None
UF00073599,Edinburgh,1885,The Life and adventures of Robinson Crusoe,27966248,English,y,55.9496416,-3.1902352
UF00074440,Chicago,1896,The Life and adventures of Robinson Crusoe ,,English,y,41.8755546,-87.6244212
UF00074458,"London (13, Warwick Lane, E.C.)",1907,The Life and adventures of Robinson Crusoe,27966241,English,y,None,None
UF00074476,Cleveland++New York,1946,The Life and adventures of Robinson Crusoe.,1423467,English,y,None,None
UF00074455,Chicago ( 407-429 Dearborn Street ),1903,The Life and adventures of Robinson Crusoe,20619112,English,y,41.6376255,-87.4363418
UF00073592,London++New York,1880,The Life and adventures of Robinson Crusoe,5904200,English,y,None,None
UF00074447,Boston,1898,Life and adventures of Robinson Crusoe,3188969,English,y,42.3604823,-71.0595678
UF00074452,London++New York (3 East 14th St.)++Felling-on-Tyne,1900,The Life and adventures of Robinson Crusoe,27020827,English,y,None,None
UF00096277,Chicago++Chicago (,1896,The life and adventures of Robinson Crusoe,12590559,English,y,None,None
UF00074461,London,1910,The Life and adventures of Robinson Crusoe,28315611,English,y,51.5073219,-0.1276474
UF00073614,New York,1889,The Life and adventures of Robinson Crusoe,14368836,English,y,40.7306458,-73.9866136
UF00026210,London++and New York,1885,The life and adventures of Robinson Crusoe,30060998,English,y,None,None
UF00026211,London (1 Leicester Square),1881,The life and adventures of Robinson Crusoe,30304572,English,y,51.5107646,-0.1306376
UF00026578,London (5 Paternoster Row),1875,The life and adventures of Robinson Crusoe,30019006,English,y,51.5145632,-0.0979581
UF00072781,London,1842,The life and adventures of Robinson Crusoe,13578188,English,y,51.5073219,-0.1276474
UF00072773,Halifax,1837,The life and adventures of Robinson Crusoe,27566810,English,y,53.7229229,-1.8604874
UF00072777,London (Holborn Hill),1843.5,The life and adventures of Robinson Crusoe,28121063,English,y,51.5170029,-0.1205074
UF00072776,London (Holborn Hill),1845,The life and adventures of Robinson Crusoe,27566807,English,y,51.5170029,-0.1205074
UF00072775,London,1839,The Life and adventures of Robinson Crusoe ,27783763,English,y,51.5073219,-0.1276474
UF00072780,New-York,1845.5,The life and adventures of Robinson Crusoe ,13539225,English,y,40.7306458,-73.9866136
UF00072770,New York (No. 56 Gold St.),1838.333333,The Life and adventures of Robinson Crusoe,27606554,English,y,42.536081,-75.516015
UF00072808,New York (3 Park Row and 3 Ann-Street),1854,The life and adventures of Robinson Crusoe,27941501,English,y,None,None
UF00026212,London (I Leiscester Square),1881,The life and adventures of Robinson Crusoe ,30836226,English,y,None,None
UF00072790,London (Gracechurch Street),1846,The life and adventures of Robinson Crusoe,27801333,English,y,51.5114619,-0.0854126
UF00072794,New York (No. 205 Broadway),1842,The life and adventures of Robinson Crusoe,27081868,English,y,40.6979462,-73.4256264
UF00072782,Philadelphia,1843,The Life and adventures of Robinson Crusoe,13547134,English,y,39.9524152,-75.1635755
UF00072778,London (Paternaster Row),1840,The life and adventures of Robinson Crusoe,6056670,English,y,None,None
UF00072785,Philadelphia (144 Chestnut St.),1845,The life and adventures of Robinson Crusoe,22921362,English,y,39.9482338,-75.1436133
UF00072804,Philadelphia (No. 7 Hart's Building Sixth Street above Chestnut),1853,The life and adventures of Robinson Crusoe,27871583,English,y,None,None
UF00072815,Philadelphia (No. 610 Chestnut Street),1859,The life and adventures of Robinson Crusoe ,27866802,English,y,39.9530853,-75.1816272
UF00072786,Portland Me,1845,The life and adventures of Robinson Crusoe ,27085568,English,y,29.0654341,-110.9716788
UF00072793,New Haven,1849,Life and adventures of Robinson Crusoe,946998,English,y,41.3082138,-72.9250518
UF00072812,New York (3 Park Row and 3 Ann-Street),1856,The life and adventures of Robinson Crusoe,22869966,English,y,None,None
UF00072788,Philadelphia (6 South Fifth Street),1843.5,The life and adventures of Robinson Crusoe ,26897893,English,y,None,None
UF00072797,New York,1855,The life and adventures of Robinson Crusoe,27801328,English,y,40.7306458,-73.9866136
UF00073558,New York,1866,The Life and adventures of Robinson Crusoe,27943253,English,y,40.7306458,-73.9866136
UF00073570,London (Belford Street Covent Garden)++New York,1869,The life and adventures of Robinson Crusoe ,3013425,English,y,None,None
UF00073543,London++Edinburgh,1860,The Life and adventures of Robinson Crusoe,27943244,English,y,None,None
UF00073553,London (Broadway Ludgate Hill)++New York (56 Walker Street),1864,The life and adventures of Robinson Crusoe ,28229578,English,y,None,None
UF00073541,Cincinnati (No. 167 Walnut St.),1865,The life and adventures of Robinson Crusoe ,27081386,English,y,40.63204,-92.929382
UF00072796,London (86 Aldersgate Street)++Glasgow++Edinburgh,1855,The life and adventures of Robinson Crusoe ,27866804,English,y,None,None
UF00073644,Philadelphia,1865,The life and adventures of Robinson Crusoe ,27943261,English,y,39.9524152,-75.1635755
UF00073571,London++New York,1869,Life and adventures of Robinson Crusoe,27866810,English,y,None,None
UF00073585,Philadelphia,1873,The Life and adventures of Robinson Crusoe,28050566,English,y,39.9524152,-75.1635755
UF00073545,Boston,1861,The Life and adventures of Robinson Crusoe,27943248,English,y,42.3604823,-71.0595678
UF00073544,London ( Paternoster Row )++Edinburgh++New York,1860,The Life and adventures of Robinson Crusoe,27943264,English,y,None,None
UF00072807,Philadelphia (No. 138 North Second Street),1856.5,The life and adventures of Robinson Crusoe ,28307148,English,y,None,None
UF00072810,London (23A Paternoster Row),1856,The life and adventures of Robinson Crusoe ,24765957,English,y,51.5145389,-0.0972019
UF00072802,London (Soho Square),1850,The life and adventures of Robinson Crusoe ,17577742,English,y,51.5154402,-0.1316133
UF00072779,New York,1841,The life and adventures of Robinson Crusoe,27089962,English,y,40.7306458,-73.9866136
UF00072809,London (Farringdon Street)++New York (18 Beekman Street),1855,The life and adventures of Robinson Crusoe ,10945661,English,y,None,None
UF00073559,Boston++New York,1866,Life and adventures of Robinson Crusoe,27966270,English,y,None,None
UF00073562,London ( 58 Holborn Hill ),1867,The Life and adventures of Robinson Crusoe,28229572,English,y,None,None
UF00073566,London,1868,The Life and adventures of Robinson Crusoe,28229576,English,y,51.5073219,-0.1276474
UF00073579,Philadelphia,1870,Life and adventures of Robinson Crusoe,16161231,English,y,39.9524152,-75.1635755
UF00073564,London ( 15 Bedford Street Covent Garden ),1867,The Life and adventures of Robinson Crusoe,22831827,English,y,None,None
UF00073548,"Boston++Concord, N. H.",1863,The Life and adventures of Robinson Crusoe,27943258,English,y,None,None
UF00073551,London (Farringdon Street)++New York (Walker Street),1864,The life and adventures of Robinson Crusoe ,9094892,English,y,None,None
UF00073555,London (Paternoster Row)++Edinburgh++New York,1864,Life and adventures of Robinson Crusoe ,27943240,English,y,None,None
UF00001345,London,1808,The life and adventures of Robinson Crusoe,29632395,English,y,51.5073219,-0.1276474
UF00072745,London (At the Juvenile and School Library No. 157 New Bond Street),1805,The Life and adventures of Robinson Crusoe ,27691502,English,y,None,None
UF00072759,London (No. 17 Paternoster-Row),1829,The life and adventures of Robinson Crusoe,27566787,English,y,51.5145389,-0.0972019
UF00073535,New York,1859,The Life and adventures of Robinson Crusoe,3633234,English,y,40.7306458,-73.9866136
UF00072795,Philadelphia,1849,The Life and adventures of Robinson Crusoe,25853098,English,y,39.9524152,-75.1635755
UF00073613,Boston U.S.A,1886,Life and adventures of Robinson Crusoe ,26812739,English,y,None,None
UF00073556,London (158 Fleet Street),1865,The life and adventures of Robinson Crusoe ,28239063,English,y,51.5142820135332,-0.108610990462084
UF00072749,London++F.C. and J. Rivington++J. Nunn++Cadell and Davies++Longman Hurst Rees Orme and Brown++Law and Whitaker++J. Richardson++Newman and Co.++Lackington and Co.++Black Kingsbury Parbury and Allen++J. Black and Son++Sherwood Neely and Jones++R. Scholey++Baldwin Cradock and Joy++R. Fenner++J. Robinson++E. Edwards++and B. Reynolds++London Johnson's Court),1818,The life and adventures of Robinson Crusoe ,22778625,English,y,None,None
UF00072803,Philadelphia (S.E. Cor. Market & Fifth Streets),1852,The life and adventures of Robinson Crusoe,27866800,English,y,None,None
UF00072763,London (Gracechurch Street),1831,The life and adventures of Robinson Crusoe ,25393676,English,y,51.5114619,-0.0854126
UF00072750,London,1818,The life and adventures of Robinson Crusoe ,5965182,English,y,51.5073219,-0.1276474
UF00049560,London (York Street Covent Garden),1882,The life and adventures of Robinson Crusoe /,28229584,English,y,None,None
UF00073645,London++New York++Manchester,1893,The Life and adventures of Robinson Crusoe [state 2],,English,y,None,None
UF00073646,London++New York++Manchester,1893,The Life and adventures of Robinson Crusoe [state 3],,English,y,None,None
UF00073647,London++New York++Manchester,1893,The Life and adventures of Robinson Crusoe [state 4],,English,y,None,None
UF00073611,London (8 Lovell's Court Paternoster Row),1888,"The life and adventures of Robinson Crusoe of York, mariner ",28307152,English,y,None,None
UF00073625,London (Warwick House Salisbury Square E.C.)++New York (East 12th St.)++Melbourne (3 and 5 St. James St.),1891.5,"The life and adventures of Robinson Crusoe, of York, mariner",27020830,English,y,None,None
UF00073598,Boston ( 365 Washington Street ),1885,"The Life and adventures of Robinson Crusoe of York, mariner",28307137,English,y,42.344965,-71.065316
UF00073590,London,1876,"Life and adventures of Robinson Crusoe of York, mariner",28229587,English,y,51.5073219,-0.1276474
UF00073596,London++New York++Melbourne,1885,"The Life and adventures of Robinson Crusoe, of York, Mariner",16874957,English,y,None,None
UF00072784,London (12 Old Bond St.)++London (37 New Bond St.),1845,"The life and adventures of Robinson Crusoe of York, mariner",27085557,English,y,None,None
UF00073628,London ( 25 Paternoster Square )++Edinburgh,1890,"The Life and adventures of Robinson Crusoe of York, mariner",28307143,English,y,None,None
UF00073560,Boston++New York,1866,"Life and adventures of Robinson Crusoe, of York, mariner : with an account of his travels round three parts of the globe.",27966245,English,y,None,None
UF00073549,London,1863,The life and adventures of Robinson Crusoe on the island of Juan Fernandez ,27020835,English,y,51.5073219,-0.1276474
UF00072771,Bristol R.I,1836,"The life and adventures of Robinson Crusoe, with a life of the author  ",18777269,English,y,41.6770463,-71.2661597
UF00073557,New York,1868,"The life and adventures of Robinson Crusoe, of York, mariner ",28050564,English,y,40.7306458,-73.9866136
UF00072791,London (86 Fleet St.),1847,"The life and adventures of Robinson Crusoe, of York, mariner ",6056847,English,y,51.5140994,-0.1096687
UF00023580,London ( 30 Paternoster Row )++Edinburgh ( 6 George Street ),1880,"The Life and adventures of Robinson Crusoe, of York, mariner",30769392,English,y,None,None
UF00072764,New-York,1831,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",22875011,English,y,40.7306458,-73.9866136
UF00072747,London++York (High-Ousegate),1811,"The life and most surprising adventures of Robinson Crusoe, of York, mariner ",25561786,English,y,None,None
UF00072748,Dublin,1818,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",13528909,English,y,53.3497645,-6.2602732
UF00072754,,1823,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",25635616,English,y,52.143222,6.2044441
UF00072758,,1826,"The life and most surprising adventures of Robinson Crusoe, of York, mariner",27801336,English,y,52.143222,6.2044441
UF00072744,Edinburgh,1803,"The life and most surprising adventures of Robinson Crusoe of York, mariner",27691507,English,y,55.9496416,-3.1902352
UF00001312,New York,1831,"The life and most surprising adventures of Robinson Crusoe, or York, mariner",,English,y,40.7306458,-73.9866136
UF00001286,Dunbar,1801,"The life and most surprising adventures of Robinson Crusoe, of York, mariner ",29632420,English,y,56.0021385,-2.5158237
UF00073622,Chicago++Philadelphia,1890,The life and strange adventures of Robinson Crusoe,27081922,English,y,None,None
UF00074457,Chicago,1904,The life and strange adventures of Robinson Crusoe,28239087,English,y,41.8755546,-87.6244212
UF00074443,Chicago,1897,"The life and strange adventures of Robinson Crusoe, as related by himself",28229597,English,y,41.8755546,-87.6244212
UF00074446,New York,1897,Life and strange surprising adventures of Robinson Crusoe,4660125,English,y,40.7306458,-73.9866136
UF00074464,Chicago++Atlanta++New York,1913,The Life and strange surprising adventures of Robinson Crusoe,3812712,English,y,None,None
UF00073605,London++Edinburgh++New York,1882,The life and strange surprising adventures of Robinson Crusoe ,28229603,English,y,None,None
UF00074474,Boston,1937,The life and strange surprising adventures of Robinson Crusoe,30571749,English,y,42.3604823,-71.0595678
UF00073600,New York,1882.5,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner",28315635,English,y,40.7306458,-73.9866136
UF00073594,London++Paris++New York,1885,"The life and strange surprising adventures of Robinson Crusoe of York, mariner",26942892,English,y,None,None
UF00073586,"New Haven, Conn.",1874,"The Life and strange surprising adventures of Robinson Crusoe of York, Mariner",5905373,English,y,41.3082138,-72.9250518
UF00073567,New York++Cambridge,1868,"The Life and strange surprising adventures of Robinson Crusoe, of York, mariner",28229606,English,y,None,None
UF00073633,London++Edinburgh,1894,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner",24648298,English,y,None,None
UF00096278,London++Paris,1896,"The life and strange surprising adventures of Robinson Crusoe, of York, Mariner",8885441,English,y,None,None
UF00074454,New York,1900,"The Life and strange surprising adventures of Robinson Crusoe, of York, mariner,",4344007,English,y,40.7306458,-73.9866136
UF00073637,London++New York,1897,"The life and strange surprising adventures of Robinson Crusoe of York, mariner",,English,y,None,None
UF00073584,Philadelphia++Boston++Cincinnati++Chicago++San Francisco++New Orleans,1872,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner",2915112,English,y,None,None
UF00073569,London  (74 & 75 Piccadilly ),1869,"The Life and strange surprising adventures of Robinson Crusoe, of York, Mariner",5380647,English,y,51.5032856,-0.1509692
UF00074441,London++Paris++Melbourne,1896,"The Life and strange surprising adventures of Robinson Crusoe, of York, Mariner, as related by himself",8885441,English,y,None,None
UF00074462,Boston,1915,"The Life and strange surprising adventures of Robinson Crusoe of York, mariner, as related by himself",13131296,English,y,42.3604823,-71.0595678
UF00073581,London++Paris++New York,1874.5,"The life and strange surprising adventures of Robinson Crusoe, of York, mariner ",28050571,English,y,None,None
UF00073640,"Mount Vernon, N.Y.",1945,"The Life and strange surprizing adventures of Robinson Crusoe of York, mariner",1897114,English,y,40.9125992,-73.8370786
UF00073589,London++Edinburgh++New York,1876,"The Life and strange surprizing adventures of Robinson Crusoe, of York, mariner",16936870,English,y,None,None
UF00073595,London,1885,"The Life and strange surprizing adventures of Robinson Crusoe, of York, mariner",21109901,English,y,51.5073219,-0.1276474
UF00028212,,1875,"The Life and strange surprizing adventures of Robinson Crusoe, of York, mariner",28307257,English,y,52.143222,6.2044441
UF00024127,London (At the ship in Pater-Noster-Row),1719,"The life and strange surprizing adventures of Robinson Crusoe, of York, mariner",5585456,English,y,None,None
UF00073554,New York (No. 118 William Street),1864,The life and surprising adventures of Robinson Crusoe ,7517958,English,y,40.7699006,-73.527399
UF00073546,Edinburgh,1861,The Life and surprising adventures of Robinson Crusoe,27943277,English,y,55.9496416,-3.1902352
UF00073539,Wakefield++London (22 Paternoster Row),1865,The life and surprising adventures of Robinson Crusoe ,27966251,English,y,None,None
UF00073538,London (Paternoster Row),1865,The life and surprising adventures of Robinson Crusoe ,28239070,English,y,51.5145389,-0.0972019
UF00073552,Cincinnati,1864,"The life and surprising adventures of Robinson Crusoe, of York, mariner ",27943272,English,y,39.1014537,-84.5124602
UF00073583,New York (Franklin Square),1871,"The Life and surprising adventures of Robinson Crusoe of York, mariner",28050577,English,y,40.7073244,-73.6759635
UF00072817,London (York Street Covent Garden),1859,"The life and surprising adventures of Robinson Crusoe, of York, mariner ",4971972,English,y,None,None
UF00072798,London,1855,"The life and surprising adventures of Robinson Crusoe, of York, mariner ",28315616,English,y,51.5073219,-0.1276474
UF00072811,"Newburyport, MA",1856,"The life and surprising adventures of Robinson Crusoe, of York, mariner",4294538,English,y,42.8125913,-70.8772751
UF00072768,Boston++Newburyport,1833,"The life and surprising adventures of Robinson Crusoe, of York, mariner",10745250,English,y,None,None
UF00073638,New York,1895,"The Life and surprising adventures of Robinson Crusoe of York, mariner ",1440205,English,y,40.7306458,-73.9866136
UF00073626,Rutland Vt,1890,"The life and surprising adventures of Robinson Crusoe of York, mariner",26812743,English,y,43.6106237,-72.9726065
UF00073608,London,1885,"The Life and surprising adventures of Robinson Crusoe of York, mariner",26873644,English,y,51.5073219,-0.1276474
UF00074460,New York,,"The Life and surprising adventures of Robinson Crusoe, of York, mariner",24526825,English,y,40.7306458,-73.9866136
UF00074442,London,1896,"The Life and surprising adventures of Robinson Crusoe of York, mariner",10369979,English,y,51.5073219,-0.1276474
UF00072766,London,1831,"The life and surprising adventures of Robinson Crusoe, of York, mariner",14236069,English,y,51.5073219,-0.1276474
UF00072800,Glasgow,1855,The Life and wonderful adventures of Robinson Crusoe ,27606558,English,y,55.856656,-4.2435817
UF00073537,London (York Street Covent Garden),1859,The life of Robinson Crusoe in short words ,20484714,English,y,None,None
UF00073536,London,1859,The Life of Robinson Crusoe in short words,27077264,English,y,51.5073219,-0.1276474
UF00026282,London,1870,"Life on desolate islands, or, Real Robinson Crusoes",36055376,English,y,51.5073219,-0.1276474
UF00072783,Philadelphia++New Haven,1843,The little Robinson Crusoe,19580104,English,y,None,None
UF00072813,Philadelphia,1857,The Little Robinson Crusoe,27081345,English,y,39.9524152,-75.1635755
UF00072787,Philadelphia,1845,The Little Robinson Crusoe,27020839,English,y,39.9524152,-75.1635755
UF00072792,Albany,1848,The Little Robinson Crusoe,27085575,English,y,42.6511674,-73.754968
UF00072799,Boston (36 Cornhill),1855,The Little Robinson Crusoe,27085573,English,y,None,None
AA00021429,"Printed at Worcester, Massachusetts",1795,"The most surprising adventures, and wonderful life of Robinson Crusoe, of York, mariner",,English,y,None,None
AA00021491,Portland [Me.],1789,"The most surprising adventures, and wonderful life of Robinson Crusoe, of York, mariner",23031561,English,y,29.0654341,-110.9716788
UF00073627,London++New York,1890,My Robinson Crusoe story book ,28121072,English,y,None,None
UF00055798,Chicago++New York,1888,My treasure,14364951,English,y,None,None
AA00021428,"London (opposite Burlington House, Piccadilly)",1789,The new Robinson Crusoe,23031023,Englishfreger,y,None,None
UF00072760,New York,1829,"The New Robinson Crusoe, designed for youth",27081393,English,y,40.7306458,-73.9866136
UF00074468,Cambridge,1928,Premiáeres aventures de Robinson Crusoe,3237130,French,y,52.2033051,0.124862
UF00074466,Chicago++Philadelphia++Dallas,1925,Robinson Crusoe,3158657,English,y,None,None
UF00073641,,1906,Robinson Crusoe,,,y,52.143222,6.2044441
UF00073642,New York,1945,Robinson Crusoe,19297346,English,y,40.7306458,-73.9866136
UF00074475,,1946,Robinson Crusoe.,5465008,,y,52.143222,6.2044441
UF00074456,London++New York,1958,Robinson Crusoe,4706883,,y,None,None
UF00074448,New York,1898,Robinson Crusoe,28121076,English,y,40.7306458,-73.9866136
UF00074453,New York++London++Paris,1900,Robinson Crusoe,26882916,English,y,None,None
UF00074438,New Tork,1895,Robinson Crusoe.,,English,y,33.5482551,47.3755063
UF00074444,,1897,Robinson Crusoe.,,English,y,52.143222,6.2044441
UF00074439,Philadelphia,1895,Robinson Crusoe,,English,y,39.9524152,-75.1635755
UF00096279,New York,1897,Robinson Crusoe,28121080,English,y,40.7306458,-73.9866136
UF00096273,New York,1895,Robinson Crusoe,28121078,English,y,40.7306458,-73.9866136
UF00096274,New York,1895,Robinson Crusoe,28121078,English,y,40.7306458,-73.9866136
UF00096275,New York,1895,Robinson Crusoe,27022440,English,y,40.7306458,-73.9866136
UF00096276,Philadelphia,1895,Robinson Crusoe,26942895,English,y,39.9524152,-75.1635755
UF00003505,Boston,1859,Robinson Crusoe,25275524,English,y,42.3604823,-71.0595678
UF00073632,Chicago,1892,Robinson Crusoe,22044869,English,y,41.8755546,-87.6244212
UF00073604,London (14 King William Street Strand W.C.)++New York,1882,Robinson Crusoe,4947125,English,y,None,None
UF00073565,London++New York,1873,Robinson Crusoe,14008665,English,y,None,None
UF00074445,New York,1897,Robinson Crusoe,30345740,English,y,40.7306458,-73.9866136
UF00073572,New York,1869,Robinson Crusoe,16161254,English,y,40.7306458,-73.9866136
UF00074477,Philadelphia,1948,Robinson Crusoe,30373790,English,y,39.9524152,-75.1635755
UF00072751,London (Strand)++Edinburgh,1820,Robinson Crusoe,63956309,English,y,55.959156,-3.1916912
UF00072753,Chiswick (College House),1822,Robinson Crusoe,27691505,English,y,51.48777885,-0.247618547869961
UF00072757,Hartford Conn,1826,Robinson Crusoe,4447205,English,y,41.7645491,-72.6908673
UF00001347,London,1812,Robinson Crusoe,29632392,English,y,51.5073219,-0.1276474
UF00073542,New York (No. 27 Chatham St.),1863.5,Robinson Crusoe,27606559,English,y,40.56357805,-74.1819109
UF00073561,London++Cambridge,1866,Robinson Crusoe,18429358,English,y,None,None
UF00073573,New York,1869,Robinson Crusoe,20590980,English,y,40.7306458,-73.9866136
UF00054522,New York,1889,Robinson Crusoe,30061023,English,y,40.7306458,-73.9866136
UF00072801,Boston,1851.5,Robinson Crusoe,27866827,English,y,42.3604823,-71.0595678
UF00023604,New York,1880,Robinson Crusoe,30304599,English,y,40.7306458,-73.9866136
UF00072765,London (Fleet St.),1831,Robinson Crusoe,29632426,English,y,51.5140994,-0.1096687
UF00026664,New York,1878,Robinson Crusoe,30760563,English,y,40.7306458,-73.9866136
UF00081205,New York,1869,Robinson Crusoe : in words of one syllable,20590980,English,y,40.7306458,-73.9866136
UF00074478,New York,1948,"Robinson Crusoe, and A journal of the plague year",355083,English,y,40.7306458,-73.9866136
UF00073568,England?,1877,Robinson Crusoe. Fairy tales. Tom Brown's school days,28307153,English,y,52.7954791,-0.540240286617432
UF00054403,London++New York,1887,"Robinson Crusoe, his life and adventures",27081396,English,y,None,None
UF00073609,London++New York,1886,"Robinson Crusoe, his life and adventures",27081931,English,y,None,None
UF00074459,Philadelphia (610 South Washington Square),1882,Robinson Crusoe in words of one syllable,26812745,English,y,39.946346,-75.153379
UF00028328,New York (416 Broome Street),1876,Robinson Crusoe in words of one syllable,30304714,English,y,40.721195,-73.998284
UF00049816,New York,1882,Robinson Crusoe in words of one syllable,30760494,English,y,40.7306458,-73.9866136
UF00049557,New York,1882,Robinson Crusoe in words of one syllable,30304595,English,y,40.7306458,-73.9866136
UF00073631,London++Edinburgh++New York,1892,"Robinson Crusoe, the clever cats, &c.;",26812751,English,y,None,None
UF00072769,Derby++London (53 Paternoster Row),1836,The Singular adventures of Robinson Crusoe ,27698232,English,y,None,None
UF00001811,Boston,1851,"The solitary of Juan Fernandez, or, The real Robinson Crusoe",604304,English,y,42.3604823,-71.0595678
UF00082141,Boston,1899.5,The strange and surprising adventures of Robinson Crusoe of York mariner,30345746,English,y,42.3604823,-71.0595678
